Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0.00,0,0,0,0
Cash and Short Term Investments,16.55,40.67,69.19,115.69,142.50
"Accounts Receivable - Trade, Net",4.10,1.26,1.17,2.13,4.07
"Total Receivables, Net",82.75,6.97,6.10,12.18,19.79
Prepaid Expenses,3.72,0.37,0.12,0.81,0.51
"Other Current Assets, Total",2.92,36.59,23.75,0.00,0
Total Current Assets,105.94,84.60,99.15,128.68,162.81
"Property/Plant/Equipment, Total - Gross",0.46,0.51,0.65,0.70,1.03
"Accumulated Depreciation, Total",-0.16,-0.25,-0.37,-0.51,-0.66
"Property/Plant/Equipment, Total - Net",0.30,0.27,0.27,0.20,0.37
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0.27,0.33,0.39
Long Term Investments,934.69,1552.04,1478.72,1831.17,2345.73
Total Assets,1040.93,1637.42,1579.44,1960.40,2509.29
Accounts Payable,0.81,0.03,2.89,7.80,18.92
Accrued Expenses,0.65,3.71,3.91,5.64,5.62
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",320.10,18.15,20.13,25.83,35.42
Total Current Liabilities,355.10,22.70,212.48,240.11,569.50
Total Long Term Debt,73.01,482.23,314.90,501.64,422.74
Total Debt,106.54,483.04,500.51,705.51,939.47
Deferred Income Tax,154.69,283.43,276.05,329.25,406.61
"Other Liabilities, Total",0.00,0.17,0.06,3.67,8.08
Total Liabilities,582.79,788.53,803.49,1074.68,1406.94
"Common Stock, Total",13.72,150.93,138.73,194.14,282.03
Retained Earnings (Accumulated Deficit),465.09,725.11,709.38,797.18,848.53
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-20.67,-27.15,-72.16,-105.58,-28.22
Total Equity,458.14,848.89,775.95,885.73,1102.35
Total Liabilities & Shareholders' Equity,1040.93,1637.42,1579.44,1960.40,2509.29
Total Common Shares Outstanding,549.61,553.79,558.91,647.03,777.48
"Tangible Book Value per Share, Common Eq",0.83,1.53,1.39,1.37,1.42
