Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,2.85,2.57,2.44,2.14,2.15
Total Revenue,2.85,2.57,2.44,2.14,2.15
"Selling/General/Admin. Expenses, Total",4.02,2.16,1.69,1.55,1.48
Depreciation/Amortisation,0.21,0.21,0.20,0.17,0.15
Unusual Expense (Income),0,0.02,0,0,0
"Other Operating Expenses, Total",0.39,1.81,1.38,1.23,1.28
Total Operating Expense,4.62,4.20,3.28,2.94,2.91
Operating Income,-1.78,-1.63,-0.84,-0.80,-0.75
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.00,0.00,1.47,-0.00,-0.00
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-1.78,-1.63,0.63,-0.80,-0.76
Provision for Income Taxes,0.00,-0.01,0,0,0.00
Net Income After Taxes,-1.78,-1.62,0.63,-0.80,-0.76
Net Income Before Extra. Items,-1.78,-1.62,0.63,-0.80,-0.76
Net Income,-1.78,-1.62,0.63,-0.80,-0.76
Income Available to Com Excl ExtraOrd,-1.78,-1.62,0.63,-0.80,-0.76
Income Available to Com Incl ExtraOrd,-1.78,-1.62,0.63,-0.80,-0.76
Diluted Net Income,-1.78,-1.62,0.63,-0.80,-0.76
Diluted Weighted Average Shares,8.76,8.76,8.76,8.76,8.76
Diluted EPS Excluding ExtraOrd Items,-0.20,-0.19,0.07,-0.09,-0.09
DPS - Common Stock Primary Issue,0.02,0.02,0.06,0.04,0.04
Diluted Normalised EPS,-0.20,-0.18,0.07,-0.09,-0.09
