Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,49.06,23.03,19.56,19.65,19.98
Total Revenue,49.06,23.03,19.56,19.65,19.98
"Selling/General/Admin. Expenses, Total",13.39,15.50,16.41,17.74,15.45
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0.03,0.03,38.07
"Other Operating Expenses, Total",60.56,62.04,-0.06,-10.92,-0.34
Total Operating Expense,100.16,86.30,21.86,11.99,78.16
Operating Income,-51.10,-63.27,-2.30,7.66,-58.18
"Interest Inc.(Exp.),Net-Non-Op., Total",-25.91,-19.91,-5.24,-1.90,-43.88
"Other, Net",1.19,0,0,0,0
Net Income Before Taxes,-75.82,-83.18,-7.54,5.75,-102.07
Provision for Income Taxes,1.05,8.22,1.25,2.52,-2.87
Net Income After Taxes,-76.87,-91.40,-8.79,3.24,-99.19
Net Income Before Extra. Items,-76.85,-92.11,-8.79,3.36,-98.73
Net Income,-76.85,-90.70,-9.32,3.36,-98.73
Income Available to Com Excl ExtraOrd,-76.85,-92.11,-8.79,3.36,-98.73
Income Available to Com Incl ExtraOrd,-76.85,-90.70,-9.32,3.36,-98.73
Diluted Net Income,-76.85,-90.70,-9.32,3.36,-98.73
Diluted Weighted Average Shares,1896.07,1930.58,2614.79,4443.13,4443.13
Diluted EPS Excluding ExtraOrd Items,-0.04,-0.05,-0.00,0.00,-0.02
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.03,-0.03,-0.00,0.00,-0.02
