Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-76.87,-89.99,-9.32,3.24,-99.19
Depreciation/Depletion,1.16,1.83,1.62,1.28,0.95
Non-Cash Items,85.73,90.44,6.88,-4.54,100.92
Cash Taxes Paid,1.02,0.06,0.02,0.00,0.12
Changes in Working Capital,-2.28,-3.55,-8.03,-4.48,-1.66
Cash from Operating Activities,7.99,-1.03,-8.61,-4.28,1.02
Capital Expenditures,-2.11,-0.91,-0.15,-1.13,-1.37
"Other Investing Cash Flow Items, Total",-0.37,-0.17,-146.25,-29.83,8.11
Cash from Investing Activities,-2.47,-1.09,-146.40,-30.96,6.74
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0.00,228.71,0,0
Cash from Financing Activities,-16.89,8.93,193.85,27.25,7.79
Foreign Exchange Effects,0.81,-0.47,0.08,0.26,0.73
Net Change in Cash,-10.57,6.34,38.91,-7.73,16.26
