Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,64.25,93.56,74.78,75.39,-358.23
Depreciation/Depletion,0,0,0,0.01,0.01
Non-Cash Items,31.33,6.47,30.55,29.31,422.60
Cash Taxes Paid,16.96,17.01,18.61,18.76,13.72
Changes in Working Capital,-14.12,-27.35,-31.99,-4.64,-13.98
Cash from Operating Activities,81.46,72.68,73.34,100.08,50.40
Capital Expenditures,0,0.00,-0.07,0.00,0
"Other Investing Cash Flow Items, Total",-29.94,-71.05,0.49,1.16,1.02
Cash from Investing Activities,-29.94,-71.05,0.42,1.16,1.02
Total Cash Dividends Paid,-56.73,-63.01,-65.38,-68.29,-43.77
"Issuance (Retirement) of Stock, Net",59.23,0,0,0,0
Cash from Financing Activities,-44.77,-19.47,-61.74,-96.02,-65.11
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,6.75,-17.84,12.02,5.22,-13.69
