Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0.03,0.00,0.00
Cash and Short Term Investments,33.58,15.74,27.78,32.98,19.29
"Accounts Receivable - Trade, Net",10.30,25.98,27.03,19.70,14.80
"Total Receivables, Net",11.75,25.98,32.39,48.83,45.03
Prepaid Expenses,3.68,0,4.83,3.02,0.88
"Other Current Assets, Total",0,4.57,0,0,0
Total Current Assets,49.01,46.30,65.01,84.83,65.20
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",0,0,0.07,0.06,0.04
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,1273.16,1349.30,1345.30,1340.78,939.67
Total Assets,1341.18,1423.85,1438.77,1427.14,1004.91
Accounts Payable,6.41,0,8.38,8.39,8.35
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",33.43,24.96,32.58,35.48,19.56
Total Current Liabilities,181.99,241.50,150.76,44.06,223.44
Total Long Term Debt,271.64,278.13,386.76,486.41,293.66
Total Debt,413.61,476.45,496.42,486.41,489.01
Deferred Income Tax,48.85,51.40,31.85,39.70,19.97
"Other Liabilities, Total",0.12,0.51,0.25,1.25,3.87
Total Liabilities,502.60,571.53,569.62,571.42,540.94
"Common Stock, Total",423.65,406.60,387.99,0,0
Retained Earnings (Accumulated Deficit),352.36,383.79,418.88,0,0
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",62.57,61.92,62.29,855.71,463.97
Total Equity,838.58,852.32,869.15,855.71,463.97
Total Liabilities & Shareholders' Equity,1341.18,1423.85,1438.77,1427.14,1004.91
Total Common Shares Outstanding,771.58,779.95,788.48,797.67,887.93
"Tangible Book Value per Share, Common Eq",1.09,1.09,1.10,1.07,0.52
