Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,107.02,110.99,116.20,115.30,79.62
Total Revenue,107.02,110.99,116.20,115.30,79.62
"Selling/General/Admin. Expenses, Total",0,0,0,0,0
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",2.97,2.18,1.25,1.17,5.71
Total Operating Expense,32.12,30.24,35.89,33.26,34.07
Operating Income,74.90,80.75,80.31,82.04,45.55
"Interest Inc.(Exp.),Net-Non-Op., Total",-10.65,12.81,-5.53,-6.65,-403.78
"Other, Net",0,0,0,0,0
Net Income Before Taxes,64.25,93.56,74.78,75.39,-358.23
Provision for Income Taxes,23.91,20.12,-1.10,26.47,-5.82
Net Income After Taxes,40.34,73.44,75.88,48.92,-352.41
Net Income Before Extra. Items,40.34,73.44,75.88,48.92,-352.41
Net Income,40.34,73.44,75.88,48.92,-352.41
Income Available to Com Excl ExtraOrd,38.69,70.03,72.47,45.51,-355.83
Income Available to Com Incl ExtraOrd,38.69,70.03,72.47,45.51,-355.83
Diluted Net Income,38.69,70.03,72.47,45.51,-355.83
Diluted Weighted Average Shares,844.66,854.40,863.86,872.71,882.90
Diluted EPS Excluding ExtraOrd Items,0.05,0.08,0.08,0.05,-0.40
DPS - Common Stock Primary Issue,0.08,0.08,0.08,0.08,0.04
Diluted Normalised EPS,0.05,0.08,0.08,0.05,-0.40
