Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,51.71,53.52,-16.96,3.31,-56.42
Depreciation/Depletion,12.30,26.79,28.48,32.17,31.86
Non-Cash Items,-69.04,-22.02,21.40,-21.05,51.66
Cash Taxes Paid,0.01,9.23,14.17,3.38,-5.81
Changes in Working Capital,-44.66,-101.05,-86.22,-56.89,-49.78
Cash from Operating Activities,-49.61,-42.68,-52.93,-41.62,-21.76
Capital Expenditures,-16.06,-54.49,-78.71,-68.25,-44.43
"Other Investing Cash Flow Items, Total",53.84,167.85,-122.53,2.72,-4.24
Cash from Investing Activities,37.78,113.36,-201.24,-65.52,-48.67
Total Cash Dividends Paid,0,0,-24.09,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,7.41,11.23,228.45,38.67,56.72
Foreign Exchange Effects,0.51,4.84,-4.71,1.16,1.98
Net Change in Cash,-3.92,86.75,-30.44,-67.30,-11.74
