Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,970.48,2158.38,2141.03,1907.75,1708.79
Total Revenue,970.48,2158.38,2141.03,1907.75,1708.79
"Selling/General/Admin. Expenses, Total",46.27,121.83,118.04,118.31,132.36
Depreciation/Amortisation,2.10,6.31,6.88,6.34,6.90
Unusual Expense (Income),-70.91,-20.92,1.04,-48.88,4.38
"Other Operating Expenses, Total",-0.38,-1.87,-2.14,-2.30,-2.68
Total Operating Expense,894.18,2099.13,2136.56,1869.43,1740.06
Operating Income,76.30,59.25,4.48,38.32,-31.27
"Interest Inc.(Exp.),Net-Non-Op., Total",-24.59,-12.68,-21.44,-35.01,-25.15
"Other, Net",0,0,0,0,0
Net Income Before Taxes,51.71,46.57,-16.96,3.31,-56.42
Provision for Income Taxes,3.24,12.04,-3.55,7.04,4.20
Net Income After Taxes,48.47,34.53,-13.41,-3.73,-60.61
Net Income Before Extra. Items,49.49,31.03,-8.48,-1.63,-53.78
Net Income,47.75,31.03,-8.48,-1.63,-53.78
Income Available to Com Excl ExtraOrd,49.49,31.03,-8.48,-1.63,-53.78
Income Available to Com Incl ExtraOrd,47.75,31.03,-8.48,-1.63,-53.78
Diluted Net Income,47.75,31.03,-8.48,-1.63,-53.78
Diluted Weighted Average Shares,876.28,1591.13,1600.75,1595.01,1595.01
Diluted EPS Excluding ExtraOrd Items,0.06,0.02,-0.01,-0.00,-0.03
DPS - Common Stock Primary Issue,0,0.01,0,0,0
Diluted Normalised EPS,0.00,0.01,-0.00,-0.02,-0.03
