Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,14.94,4.72,6.11,7.25,7.06
Short Term Investments,3.34,7.38,2.82,0.97,0.61
Cash and Short Term Investments,18.28,12.10,8.93,8.22,7.67
"Accounts Receivable - Trade, Net",18.91,24.76,24.36,23.09,38.25
"Total Receivables, Net",19.66,25.89,25.73,23.24,38.51
Prepaid Expenses,0.13,0.44,1.85,0.89,2.75
"Other Current Assets, Total",0.59,2.17,2.19,3.23,0.27
Total Current Assets,45.16,50.60,50.53,47.02,63.84
"Property/Plant/Equipment, Total - Gross",0,64.62,71.07,60.40,75.79
"Accumulated Depreciation, Total",0,-42.00,-46.28,-47.83,-49.56
"Property/Plant/Equipment, Total - Net",10.43,22.62,24.79,12.57,26.22
"Goodwill, Net",0.11,0.11,0.11,0.11,0.11
"Intangibles, Net",0.01,0.07,0.05,0.03,0.01
Long Term Investments,0.04,0,0,2.77,2.76
Total Assets,57.49,74.97,76.93,76.70,103.76
Accounts Payable,11.81,16.16,16.17,14.56,20.68
Accrued Expenses,0,4.16,3.71,3.75,4.26
Notes Payable/Short Term Debt,0.00,2.85,5.03,5.49,8.81
"Other Current liabilities, Total",6.36,7.21,4.03,1.86,6.28
Total Current Liabilities,18.26,30.42,28.95,26.91,41.16
Total Long Term Debt,0.02,0.00,0.00,0.15,5.00
Total Debt,0.11,2.90,5.03,6.90,14.94
Deferred Income Tax,0,0,0,0,0.11
"Other Liabilities, Total",1.33,1.41,1.53,1.73,3.50
Total Liabilities,19.52,31.75,30.07,28.05,48.64
"Common Stock, Total",58.52,58.52,58.52,58.52,58.59
Retained Earnings (Accumulated Deficit),-20.55,-15.38,-11.59,-8.88,-3.23
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0.07,-0.06,-0.99,-0.25
Total Equity,37.98,43.22,46.87,48.65,55.11
Total Liabilities & Shareholders' Equity,57.49,74.97,76.93,76.70,103.76
Total Common Shares Outstanding,496.16,496.16,496.16,496.16,496.86
"Tangible Book Value per Share, Common Eq",0.08,0.09,0.09,0.10,0.11
