Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,75.71,94.33,100.83,97.55,106.38
Total Revenue,75.71,94.33,100.83,97.55,106.38
"Selling/General/Admin. Expenses, Total",12.51,14.49,15.36,15.60,12.59
Depreciation/Amortisation,0.45,0.27,0.41,0.68,0.81
Unusual Expense (Income),-6.06,-3.13,3.00,0.00,0.02
"Other Operating Expenses, Total",-3.74,-0.26,-0.71,-0.44,-3.10
Total Operating Expense,60.96,88.51,98.02,95.37,99.33
Operating Income,14.75,5.82,2.81,2.18,7.05
"Interest Inc.(Exp.),Net-Non-Op., Total",0.20,0.18,0.07,-0.20,-0.21
"Other, Net",0,0,0,0,0
Net Income Before Taxes,14.94,5.99,2.88,1.98,6.84
Provision for Income Taxes,1.56,1.78,0.75,0.62,1.62
Net Income After Taxes,13.38,4.21,2.13,1.36,5.21
Net Income Before Extra. Items,13.46,4.36,2.31,2.03,5.59
Net Income,13.46,4.36,2.31,2.03,5.59
Income Available to Com Excl ExtraOrd,13.46,4.36,2.31,2.03,5.59
Income Available to Com Incl ExtraOrd,13.46,4.36,2.31,2.03,5.59
Diluted Net Income,13.46,4.36,2.31,2.03,5.59
Diluted Weighted Average Shares,497.11,503.14,507.61,496.16,496.85
Diluted EPS Excluding ExtraOrd Items,0.03,0.01,0.00,0.00,0.01
DPS - Common Stock Primary Issue,0.00,0,0,0,0
Diluted Normalised EPS,0.02,0.00,0.01,0.00,0.01
