Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,2.35,4.96,5.99,5.73,4.63
Depreciation/Depletion,1.02,1.05,1.43,1.63,3.12
Non-Cash Items,-0.25,0.49,0.42,0.30,0.31
Cash Taxes Paid,0.50,0.99,0.79,0.62,0.28
Changes in Working Capital,0.65,-0.48,-1.72,-2.36,0.53
Cash from Operating Activities,3.78,6.02,6.12,5.30,8.59
Capital Expenditures,-1.80,-2.08,-2.90,-0.94,-5.05
"Other Investing Cash Flow Items, Total",1.45,1.12,0.14,0.08,0.03
Cash from Investing Activities,-0.34,-0.96,-2.76,-0.86,-5.02
Total Cash Dividends Paid,-0.20,-0.49,-1.06,-1.20,-1.51
"Issuance (Retirement) of Stock, Net",-0.01,-0.00,-0.06,0.00,-0.05
Cash from Financing Activities,-1.94,-1.20,-1.27,-1.48,-0.48
Foreign Exchange Effects,0.18,-0.12,0.06,-0.07,-0.06
Net Change in Cash,1.67,3.75,2.15,2.89,3.03
