Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,37.11,49.49,52.40,57.89,60.35
Total Revenue,37.11,49.49,52.40,57.89,60.35
"Selling/General/Admin. Expenses, Total",9.05,11.31,12.71,13.11,14.41
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.43,0.04,0.26,0.00,-0.00
"Other Operating Expenses, Total",-0.75,-0.43,-0.34,-0.46,-0.89
Total Operating Expense,34.70,44.50,46.37,52.13,55.57
Operating Income,2.41,5.00,6.03,5.76,4.78
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.06,-0.03,-0.03,-0.03,-0.16
"Other, Net",0,0,0,0,0
Net Income Before Taxes,2.35,4.96,5.99,5.73,4.63
Provision for Income Taxes,0.77,0.91,0.58,0.42,0.50
Net Income After Taxes,1.58,4.05,5.41,5.31,4.13
Net Income Before Extra. Items,1.64,4.05,5.41,5.31,4.34
Net Income,1.64,4.05,5.41,5.31,4.34
Income Available to Com Excl ExtraOrd,1.64,4.05,5.41,5.31,4.34
Income Available to Com Incl ExtraOrd,1.64,4.05,5.41,5.31,4.34
Diluted Net Income,1.64,4.05,5.41,5.31,4.34
Diluted Weighted Average Shares,81.90,56.28,67.58,82.38,82.60
Diluted EPS Excluding ExtraOrd Items,0.02,0.07,0.08,0.06,0.05
DPS - Common Stock Primary Issue,0.00,0.00,0.01,0.01,0.01
Diluted Normalised EPS,0.02,0.07,0.08,0.06,0.05
