Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,Interim Report,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0.00,3.54,0.00,0,0
Cash and Short Term Investments,4.31,31.28,8.01,13.56,14.03
"Accounts Receivable - Trade, Net",0.02,0.07,2.05,10.75,8.62
"Total Receivables, Net",0.58,0.48,5.30,11.93,9.26
Prepaid Expenses,0.01,0.28,0.77,1.23,2.35
"Other Current Assets, Total",0.00,0.54,0.20,0.39,3.20
Total Current Assets,4.90,32.64,14.70,28.86,30.81
"Property/Plant/Equipment, Total - Gross",0.18,2.69,7.64,16.71,14.80
"Accumulated Depreciation, Total",-0.13,-0.10,-1.01,-2.94,-5.91
"Property/Plant/Equipment, Total - Net",0.05,2.60,6.63,13.78,8.89
"Goodwill, Net",0.00,11.00,22.30,32.57,30.48
"Intangibles, Net",0.10,0.11,0.27,2.52,1.62
Long Term Investments,35.19,16.54,15.09,16.59,20.94
Total Assets,46.67,68.79,62.76,97.38,96.99
Accounts Payable,0.07,0.18,1.01,4.44,4.15
Accrued Expenses,0.46,0.85,0.60,1.94,1.71
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",3.76,4.69,7.14,12.03,7.71
Total Current Liabilities,4.29,5.73,9.22,24.05,19.59
Total Long Term Debt,0.00,1.63,2.42,17.77,14.42
Total Debt,0.00,1.64,2.89,23.41,20.44
Deferred Income Tax,4.75,1.79,1.82,2.39,2.17
"Other Liabilities, Total",0.00,0.00,1.77,3.75,0.87
Total Liabilities,8.19,7.85,15.09,47.00,36.54
"Common Stock, Total",28.50,73.90,77.67,88.95,92.90
Retained Earnings (Accumulated Deficit),10.22,-12.87,-30.84,-39.78,-32.28
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,1.11,1.11,0.04
"Other Equity, Total",-0.23,-0.09,-0.26,0.11,-0.20
Total Equity,38.48,60.94,47.68,50.39,60.45
Total Liabilities & Shareholders' Equity,46.67,68.79,62.76,97.38,96.99
Total Common Shares Outstanding,393.00,481.00,489.31,580.98,612.41
"Tangible Book Value per Share, Common Eq",0.10,0.10,0.05,0.03,0.05
