Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Revenue,0.12,0.29,6.14,21.53,36.26
Total Revenue,0.12,0.29,6.14,21.53,36.26
"Selling/General/Admin. Expenses, Total",3.78,3.50,7.42,8.70,8.09
Depreciation/Amortisation,0.10,0.11,1.10,3.74,4.71
Unusual Expense (Income),0.60,-0.00,2.22,1.42,-0.23
"Other Operating Expenses, Total",2.75,4.82,3.22,2.81,2.29
Total Operating Expense,2.14,10.94,24.53,31.28,31.81
Operating Income,-2.02,-10.66,-18.40,-9.75,4.45
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.19,-0.25,-0.33,-1.94,-2.33
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-2.21,-10.91,-18.73,-11.68,2.12
Provision for Income Taxes,0.74,-2.98,0.16,-0.02,0.04
Net Income After Taxes,-2.94,-7.93,-18.89,-11.66,2.07
Net Income Before Extra. Items,-1.95,-7.47,-18.45,-10.59,0.62
Net Income,-1.95,-7.47,-18.45,-10.59,0.62
Income Available to Com Excl ExtraOrd,-1.95,-7.47,-18.45,-10.59,0.62
Income Available to Com Incl ExtraOrd,-1.95,-7.47,-18.45,-10.59,0.62
Diluted Net Income,-1.95,-7.47,-18.45,-10.59,0.62
Diluted Weighted Average Shares,393.00,320.38,487.13,522.07,600.63
Diluted EPS Excluding ExtraOrd Items,-0.00,-0.02,-0.04,-0.02,0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.00,-0.02,-0.03,-0.02,0.00
