Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,99.14,139.05,175.54,194.83,265.57
Total Revenue,99.14,139.05,175.54,194.83,265.57
"Selling/General/Admin. Expenses, Total",0,0,0,0,0
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",0.74,15.09,9.73,8.50,10.59
Total Operating Expense,41.45,61.46,24.51,71.13,72.82
Operating Income,57.69,77.59,151.02,123.70,192.75
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,57.69,77.59,151.02,123.70,192.75
Provision for Income Taxes,6.74,7.32,5.01,12.59,21.02
Net Income After Taxes,50.94,70.27,146.01,111.11,171.73
Net Income Before Extra. Items,50.94,65.23,141.88,106.50,168.15
Net Income,50.94,65.23,141.88,106.50,168.15
Income Available to Com Excl ExtraOrd,50.94,65.23,141.88,106.50,168.15
Income Available to Com Incl ExtraOrd,50.94,65.23,141.88,106.50,168.15
Diluted Net Income,50.94,65.23,141.88,106.50,168.15
Diluted Weighted Average Shares,929.59,1150.61,1302.42,1418.11,1632.90
Diluted EPS Excluding ExtraOrd Items,0.05,0.06,0.11,0.08,0.10
DPS - Common Stock Primary Issue,0.05,0.06,0.06,0.07,0.08
Diluted Normalised EPS,0.05,0.06,0.11,0.08,0.10
