Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,7.09,1.40,-228.30,9.95,12.74
Depreciation/Depletion,0,0,0,0,0
Non-Cash Items,66.26,67.88,331.20,169.33,135.50
Cash Taxes Paid,0.05,0.00,3.95,0.40,0.01
Changes in Working Capital,-3.59,-0.27,-35.10,-1.20,13.20
Cash from Operating Activities,69.75,69.01,67.80,178.07,161.44
Capital Expenditures,0,0,0,0,0
"Other Investing Cash Flow Items, Total",21.28,-303.77,-149.38,-55.40,-6.12
Cash from Investing Activities,21.28,-303.77,-149.38,-55.40,-6.12
Total Cash Dividends Paid,-52.94,-46.00,-55.94,-124.88,-73.02
"Issuance (Retirement) of Stock, Net",0,0,141.94,150.04,0.00
Cash from Financing Activities,-89.99,242.72,87.59,-124.67,-152.88
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,1.04,7.95,6.01,-2.00,2.44
