Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-0.29,-1.85,-2.55,-1.95,0.16
Depreciation/Depletion,0.35,0.31,0.42,0.79,0.96
Non-Cash Items,-0.03,-0.00,0.78,0.11,0.20
Cash Taxes Paid,0.38,0.57,0.00,-0.33,0.07
Changes in Working Capital,-3.55,0.25,3.04,-0.35,1.55
Cash from Operating Activities,-3.32,-1.10,1.80,-1.40,2.88
Capital Expenditures,-0.15,-0.57,-0.32,-0.20,-0.11
"Other Investing Cash Flow Items, Total",-0.21,0.31,-2.46,0.38,0.41
Cash from Investing Activities,-0.37,-0.26,-2.78,0.18,0.30
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",7.52,0,0,0,0
Cash from Financing Activities,4.90,-0.14,-0.19,-0.32,0.30
Foreign Exchange Effects,-0.08,-0.00,0.03,0.05,-0.02
Net Change in Cash,1.13,-1.51,-1.14,-1.49,3.46
