Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,103.22,104.09,90.25,101.49,111.83
Total Revenue,103.22,104.09,90.25,101.49,111.83
"Selling/General/Admin. Expenses, Total",21.32,21.48,19.88,19.63,18.66
Depreciation/Amortisation,0.44,0.35,0.39,1.06,0.32
Unusual Expense (Income),0.47,1.22,-3.06,-1.12,1.03
"Other Operating Expenses, Total",-0.98,-0.91,-1.05,-0.91,-1.38
Total Operating Expense,99.82,99.32,87.02,99.94,107.91
Operating Income,3.41,4.78,3.23,1.54,3.92
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.37,-0.23,-0.65,-2.14,-0.51
"Other, Net",0,0,0,0,0
Net Income Before Taxes,3.04,4.55,2.58,-0.59,3.40
Provision for Income Taxes,2.64,2.82,1.79,1.28,1.93
Net Income After Taxes,0.40,1.72,0.78,-1.87,1.47
Net Income Before Extra. Items,0.40,1.72,0.90,-1.87,1.47
Net Income,0.40,1.72,0.90,-1.87,1.47
Income Available to Com Excl ExtraOrd,0.40,1.72,0.90,-1.87,1.47
Income Available to Com Incl ExtraOrd,0.40,1.72,0.90,-1.87,1.47
Diluted Net Income,0.40,1.72,0.90,-1.87,1.47
Diluted Weighted Average Shares,239.16,231.12,229.33,225.68,225.68
Diluted EPS Excluding ExtraOrd Items,0.00,0.01,0.00,-0.01,0.01
DPS - Common Stock Primary Issue,0.01,0.01,0.01,0.01,0.01
Diluted Normalised EPS,0.00,0.01,-0.00,-0.01,0.01
