Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,3.04,4.55,2.58,-0.59,3.40
Depreciation/Depletion,1.79,1.32,1.38,2.36,2.94
Non-Cash Items,-0.04,0.58,-3.25,1.20,0.04
Cash Taxes Paid,1.87,2.46,2.12,1.40,1.63
Changes in Working Capital,-4.20,-9.97,0.29,-5.49,-1.87
Cash from Operating Activities,0.59,-3.52,1.01,-2.52,4.52
Capital Expenditures,-0.83,-0.96,-2.20,-2.16,-1.33
"Other Investing Cash Flow Items, Total",-0.32,1.25,-3.25,1.09,0.12
Cash from Investing Activities,-1.15,0.29,-5.45,-1.07,-1.21
Total Cash Dividends Paid,-3.80,-2.30,-2.52,-2.49,-2.44
"Issuance (Retirement) of Stock, Net",-0.91,-0.45,-0.32,-0.63,-0.16
Cash from Financing Activities,-3.68,0.75,-2.71,-3.58,-0.66
Foreign Exchange Effects,-1.11,1.23,-1.16,0.17,1.71
Net Change in Cash,-5.36,-1.25,-8.31,-7.00,4.36
