Fiscal Year,2014,2015,2016,2017,2018
Period Ended,31 Jan 2014,31 Jan 2015,31 Jan 2016,31 Jan 2017,31 Jan 2018
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,16.07,15.79,14.13,18.24,14.91
Total Revenue,16.07,15.79,14.13,18.24,14.91
"Selling/General/Admin. Expenses, Total",10.54,9.20,10.20,10.16,8.92
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",-0.10,-0.29,-0.32,-1.17,-0.47
Total Operating Expense,16.87,15.28,16.33,18.07,14.79
Operating Income,-0.81,0.51,-2.20,0.16,0.12
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-0.81,0.51,-2.20,0.16,0.12
Provision for Income Taxes,-0.09,0.07,-0.22,0.00,0.12
Net Income After Taxes,-0.72,0.44,-1.98,0.16,0.01
Net Income Before Extra. Items,-0.72,0.44,-1.98,0.16,0.05
Net Income,-1.11,0.44,-1.98,0.16,0.05
Income Available to Com Excl ExtraOrd,-0.72,0.44,-1.98,0.16,0.05
Income Available to Com Incl ExtraOrd,-1.11,0.44,-1.98,0.16,0.05
Diluted Net Income,-1.11,0.44,-1.98,0.16,0.05
Diluted Weighted Average Shares,30.00,30.00,30.00,30.00,30.00
Diluted EPS Excluding ExtraOrd Items,-0.02,0.01,-0.07,0.01,0.00
DPS - Common Stock Primary Issue,0.04,0.03,0,0,0
Diluted Normalised EPS,-0.02,0.01,-0.07,0.01,0.00
