Fiscal Year,2017,2018,2019,2020,2021
Period Ended,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020,30 Jun 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,216.36,208.81,206.19,180.77,181.29
Total Revenue,216.36,208.81,206.19,180.77,181.29
"Selling/General/Admin. Expenses, Total",0,0,0,0,0
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.00,0.00,0.00,0,0
"Other Operating Expenses, Total",0,0,0,0,0
Total Operating Expense,107.07,104.20,105.06,107.70,106.93
Operating Income,109.29,104.61,101.14,73.07,74.35
"Interest Inc.(Exp.),Net-Non-Op., Total",-10.31,-16.92,-32.07,-169.11,-16.37
"Other, Net",0,0,0,0,0
Net Income Before Taxes,98.99,87.69,69.07,-96.04,57.98
Provision for Income Taxes,-1.27,3.45,3.48,1.37,1.46
Net Income After Taxes,100.25,84.24,65.59,-97.41,56.52
Net Income Before Extra. Items,100.25,84.24,65.59,-97.41,56.52
Net Income,100.25,84.24,65.59,-97.41,56.52
Income Available to Com Excl ExtraOrd,100.25,84.24,65.59,-97.41,56.52
Income Available to Com Incl ExtraOrd,100.25,84.24,65.59,-97.41,56.52
Diluted Net Income,100.25,84.24,65.59,-97.41,56.52
Diluted Weighted Average Shares,2181.20,2181.20,2181.20,2185.03,2201.95
Diluted EPS Excluding ExtraOrd Items,0.05,0.04,0.03,-0.04,0.03
DPS - Common Stock Primary Issue,0.04,0.04,0.04,0.03,0.03
Diluted Normalised EPS,0.05,0.04,0.03,-0.04,0.03
