Fiscal Year,2017,2018,2019,2020,2021
Period Ended,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020,30 Jun 2021
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,98.99,87.69,69.07,-96.04,57.98
Depreciation/Depletion,0.36,0.01,0.02,0.01,0.02
Non-Cash Items,48.25,54.29,69.81,216.15,65.47
Cash Taxes Paid,2.40,4.43,2.26,2.02,1.24
Changes in Working Capital,-6.45,-6.08,-4.93,-17.30,18.75
Cash from Operating Activities,141.14,135.91,133.97,102.83,142.22
Capital Expenditures,-0.05,0.00,-0.00,-0.04,0.00
"Other Investing Cash Flow Items, Total",-3.02,-6.61,-6.72,-28.79,-34.46
Cash from Investing Activities,-3.07,-6.61,-6.72,-28.83,-34.46
Total Cash Dividends Paid,-109.72,-101.21,-97.50,-73.38,-55.10
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-137.94,-139.09,-119.54,-30.48,-118.12
Foreign Exchange Effects,-0.48,-0.09,-1.50,0.98,1.24
Net Change in Cash,-0.35,-9.87,6.22,44.50,-9.12
