Fiscal Year,2017,2018,2019,2020,2021
Period Ended,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020,30 Jun 2021
Source,ARS,Interim Report,ARS,ARS,PRESS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,76.60,66.73,72.95,117.44,108.32
"Accounts Receivable - Trade, Net",3.67,1.63,1.52,10.86,5.01
"Total Receivables, Net",5.36,3.23,2.97,21.42,5.01
Prepaid Expenses,0.71,0.67,0.63,0.61,0
"Other Current Assets, Total",0.36,0.53,0.55,0.25,0.09
Total Current Assets,83.03,71.17,77.09,139.72,113.42
"Property/Plant/Equipment, Total - Gross",1.99,1.88,0.88,0.92,0
"Accumulated Depreciation, Total",-1.93,-1.84,-0.86,-0.87,0
"Property/Plant/Equipment, Total - Net",0.06,0.04,0.03,0.05,0.03
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,3136.32,3118.34,3064.86,2941.26,2964.65
Total Assets,3219.44,3191.51,3141.98,3081.04,3079.59
Accounts Payable,8.66,7.92,8.16,4.97,0
Accrued Expenses,9.87,10.30,9.28,8.71,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0
"Other Current liabilities, Total",24.36,22.64,18.24,28.40,4.91
Total Current Liabilities,448.77,104.24,163.51,204.43,46.88
Total Long Term Debt,728.39,1066.93,1004.27,1056.83,1105.69
Total Debt,1134.28,1130.33,1132.11,1219.19,1106.15
Deferred Income Tax,6.75,6.34,6.17,6.34,6.80
"Other Liabilities, Total",26.19,23.70,38.01,43.94,30.12
Total Liabilities,1210.10,1201.21,1211.96,1311.55,1189.49
"Common Stock, Total",2051.82,2034.85,2002.94,1840.26,1790.48
Retained Earnings (Accumulated Deficit),0,0,0,0,0
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-42.47,-44.56,-72.92,-70.77,99.62
Total Equity,2009.35,1990.30,1930.02,1769.49,1890.10
Total Liabilities & Shareholders' Equity,3219.44,3191.51,3141.98,3081.04,3079.59
Total Common Shares Outstanding,2181.20,2181.20,2181.20,2191.13,2214.20
"Tangible Book Value per Share, Common Eq",0.92,0.91,0.88,0.81,0.85
