Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Revenue,245.03,331.85,431.54,419.84,515.63
Total Revenue,245.03,331.85,431.54,419.84,515.63
"Selling/General/Admin. Expenses, Total",7.61,8.28,12.07,13.87,15.48
Depreciation/Amortisation,0.41,0.37,0.78,3.83,3.74
Unusual Expense (Income),0,0.00,1.11,0.02,0.74
"Other Operating Expenses, Total",1.24,3.03,1.76,2.14,-0.01
Total Operating Expense,235.16,309.78,405.89,395.38,479.04
Operating Income,9.88,22.07,25.65,24.46,36.59
"Interest Inc.(Exp.),Net-Non-Op., Total",0.09,0.09,0.73,1.12,0.57
"Other, Net",0,0,0,0,0
Net Income Before Taxes,9.96,22.16,26.37,25.58,37.16
Provision for Income Taxes,1.10,3.27,4.44,4.46,5.93
Net Income After Taxes,8.86,18.89,21.94,21.12,31.22
Net Income Before Extra. Items,7.62,16.27,19.41,20.04,29.09
Net Income,7.62,16.27,19.41,20.04,29.09
Income Available to Com Excl ExtraOrd,7.62,16.27,19.41,20.04,29.09
Income Available to Com Incl ExtraOrd,7.62,16.27,19.41,20.04,29.09
Diluted Net Income,7.62,16.27,19.41,20.04,29.09
Diluted Weighted Average Shares,307.10,307.10,339.15,370.00,370.00
Diluted EPS Excluding ExtraOrd Items,0.02,0.05,0.06,0.05,0.08
DPS - Common Stock Primary Issue,0,0,0.02,0.03,0.06
Diluted Normalised EPS,0.02,0.05,0.06,0.05,0.08
