Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,270.57,300.53,271.13,367.14,164.50
Depreciation/Depletion,0.00,0.01,0.04,0.06,0.07
Non-Cash Items,-42.28,-59.31,-18.58,-83.70,139.19
Cash Taxes Paid,0.00,0,0,0.03,0.79
Changes in Working Capital,5.75,4.32,-7.64,3.39,-66.96
Cash from Operating Activities,234.05,245.55,244.95,286.89,236.80
Capital Expenditures,-0.00,-0.09,-0.14,-0.04,-0.09
"Other Investing Cash Flow Items, Total",-103.85,-274.09,-369.51,-429.39,-527.11
Cash from Investing Activities,-103.86,-274.18,-369.65,-429.43,-527.20
Total Cash Dividends Paid,-203.92,-212.09,-203.96,-219.26,-275.83
"Issuance (Retirement) of Stock, Net",0,153.19,198.96,393.61,403.64
Cash from Financing Activities,-146.55,28.06,127.30,155.95,297.67
Foreign Exchange Effects,0,0,0,0.01,-0.25
Net Change in Cash,-16.36,-0.57,2.59,13.43,7.03
