Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,340.57,363.23,376.10,405.86,448.20
Total Revenue,340.57,363.23,376.10,405.86,448.20
"Selling/General/Admin. Expenses, Total",0,0,0,0,0
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,1.00
"Other Operating Expenses, Total",-2.07,-0.50,-0.29,0.51,1.02
Total Operating Expense,140.23,149.71,161.87,165.96,192.38
Operating Income,200.34,213.52,214.23,239.90,255.82
"Interest Inc.(Exp.),Net-Non-Op., Total",70.24,87.05,56.90,127.30,-57.95
"Other, Net",0,0,0,0,0
Net Income Before Taxes,270.57,300.56,271.13,367.20,197.87
Provision for Income Taxes,0.00,0.03,0.00,0.06,33.37
Net Income After Taxes,270.57,300.53,271.13,367.14,164.50
Net Income Before Extra. Items,270.57,300.53,271.13,367.14,164.50
Net Income,270.57,300.53,271.13,367.14,164.50
Income Available to Com Excl ExtraOrd,270.57,300.53,271.13,367.14,164.50
Income Available to Com Incl ExtraOrd,270.57,300.53,271.13,367.14,164.50
Diluted Net Income,270.57,300.53,271.13,367.14,164.50
Diluted Weighted Average Shares,1807.64,1842.61,1909.02,2121.31,2320.28
Diluted EPS Excluding ExtraOrd Items,0.15,0.16,0.14,0.17,0.07
DPS - Common Stock Primary Issue,0.09,0.10,0.10,0.10,0.11
Diluted Normalised EPS,0.15,0.16,0.14,0.17,0.07
