Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,15.69,37.42,21.01,39.44,55.46
Short Term Investments,22.30,0.00,19.00,0,0
Cash and Short Term Investments,37.99,37.42,40.01,53.44,60.46
"Accounts Receivable - Trade, Net",9.96,19.87,28.59,2.79,9.33
"Total Receivables, Net",10.22,24.40,33.49,15.16,19.69
Prepaid Expenses,1.15,1.55,1.56,0.92,1.14
"Other Current Assets, Total",0.06,0.03,0.28,0.04,167.77
Total Current Assets,49.41,63.40,75.34,69.56,249.07
"Property/Plant/Equipment, Total - Gross",0.03,0.12,0.26,0.30,0.39
"Accumulated Depreciation, Total",-0.03,-0.04,-0.08,-0.13,-0.20
"Property/Plant/Equipment, Total - Net",0.00,0.08,0.18,0.17,0.18
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,3748.65,4089.46,4530.40,5115.25,6132.90
Total Assets,3798.06,4154.32,4607.06,5187.88,6391.62
Accounts Payable,4.12,10.57,2.78,3.19,4.39
Accrued Expenses,68.97,62.03,65.34,52.28,56.61
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,367.85
"Other Current liabilities, Total",35.66,30.79,37.00,44.28,47.67
Total Current Liabilities,223.73,288.31,180.11,101.03,477.87
Total Long Term Debt,991.43,1033.19,1321.73,1458.29,1901.90
Total Debt,1106.41,1218.12,1396.71,1459.57,2271.10
Deferred Income Tax,0,0,0,0,37.10
"Other Liabilities, Total",50.12,52.75,57.70,68.44,79.76
Total Liabilities,1265.27,1374.25,1559.54,1627.76,2496.62
"Common Stock, Total",2532.79,2780.07,3047.53,3560.12,3895.00
Retained Earnings (Accumulated Deficit),0,0,0,0,0
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,2532.79,2780.07,3047.53,3560.12,3895.00
Total Liabilities & Shareholders' Equity,3798.06,4154.32,4607.06,5187.88,6391.62
Total Common Shares Outstanding,1808.22,1891.55,2027.90,2208.40,2359.06
"Tangible Book Value per Share, Common Eq",1.40,1.47,1.50,1.61,1.65
