Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,66.92,33.13,32.17,30.24,23.10
Total Revenue,66.92,33.13,32.17,30.24,23.10
"Selling/General/Admin. Expenses, Total",9.58,8.73,8.18,9.40,9.17
Depreciation/Amortisation,0,0.65,0.67,0,0
Unusual Expense (Income),0.03,0.03,0.04,0.07,-1.06
"Other Operating Expenses, Total",-0.68,0.07,-0.56,-0.02,-1.82
Total Operating Expense,64.17,35.59,33.46,33.19,27.47
Operating Income,2.75,-2.47,-1.29,-2.95,-4.37
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-0.24,-0.30,-0.56,-0.66
"Other, Net",0,0,0,0,0
Net Income Before Taxes,2.75,-2.71,-1.59,-3.51,-5.03
Provision for Income Taxes,-0.10,-0.67,-0.01,0.00,0
Net Income After Taxes,2.86,-2.04,-1.58,-3.51,-5.03
Net Income Before Extra. Items,2.54,-1.63,-0.89,-1.98,-2.77
Net Income,2.54,-1.63,-0.89,-1.98,-2.77
Income Available to Com Excl ExtraOrd,2.54,-1.63,-0.89,-1.98,-2.77
Income Available to Com Incl ExtraOrd,2.54,-1.63,-0.89,-1.98,-2.77
Diluted Net Income,2.54,-1.63,-0.89,-1.98,-2.77
Diluted Weighted Average Shares,1624.43,984.75,1041.65,1065.40,1065.40
Diluted EPS Excluding ExtraOrd Items,0.00,-0.00,-0.00,-0.00,-0.00
DPS - Common Stock Primary Issue,0.00,0,0,0,0
Diluted Normalised EPS,0.00,-0.00,-0.00,-0.00,-0.00
