Fiscal Year,2017,2017.1,2018,2019,2020
Period Ended,31 Mar 2017,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,9 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,0.00,0.00,0.00,87.57,71.00
Total Revenue,0.00,0.00,0.00,87.57,71.00
"Selling/General/Admin. Expenses, Total",0.55,-0.29,0.42,14.20,8.13
Depreciation/Amortisation,0.01,0.00,0.00,0.31,0.47
Unusual Expense (Income),0.09,0.01,0.00,0,0
"Other Operating Expenses, Total",0.09,-0.06,0.02,-0.22,-0.49
Total Operating Expense,0.74,-0.33,0.44,88.38,65.94
Operating Income,-0.74,0.33,-0.44,-0.81,5.05
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,-0.93,-0.83
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-0.74,0.33,-0.44,-1.74,4.22
Provision for Income Taxes,0.00,0.00,0.00,0.17,1.12
Net Income After Taxes,-0.74,0.33,-0.44,-1.90,3.10
Net Income Before Extra. Items,-0.74,0.33,-0.44,-1.90,3.10
Net Income,-0.74,0.33,-0.44,-1.90,3.10
Income Available to Com Excl ExtraOrd,-0.74,0.33,-0.44,-1.90,3.10
Income Available to Com Incl ExtraOrd,-0.74,0.33,-0.44,-1.90,3.10
Diluted Net Income,-0.74,0.33,-0.44,-1.90,3.10
Diluted Weighted Average Shares,3.68,3.68,3.68,169.68,169.68
Diluted EPS Excluding ExtraOrd Items,-0.20,0.09,-0.12,-0.01,0.02
DPS - Common Stock Primary Issue,0,0.00,0,0,0
Diluted Normalised EPS,-0.18,0.09,-0.12,-0.01,0.02
