Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,34.81,37.64,84.15,103.79,18.71
Depreciation/Depletion,7.98,4.77,3.09,3.11,3.31
Non-Cash Items,25.66,28.67,-19.79,-31.55,53.17
Cash Taxes Paid,7.02,8.96,9.90,7.04,5.03
Changes in Working Capital,1.07,-14.14,-9.98,-5.11,-14.71
Cash from Operating Activities,69.52,56.94,57.48,70.25,60.48
Capital Expenditures,-4.48,-2.67,-2.49,-3.69,-1.33
"Other Investing Cash Flow Items, Total",-80.09,-65.87,-114.65,-30.09,7.43
Cash from Investing Activities,-84.57,-68.55,-117.14,-33.78,6.09
Total Cash Dividends Paid,-14.88,-15.36,-21.02,-16.82,-8.41
"Issuance (Retirement) of Stock, Net",-4.39,52.32,0.00,0,0
Cash from Financing Activities,-37.91,4.45,48.36,-52.02,-29.11
Foreign Exchange Effects,-1.21,0.13,-0.54,0.58,0.03
Net Change in Cash,-54.17,-7.03,-11.83,-14.98,37.49
