Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,Interim Report,ARS,ARS,PRESS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,0.56,11.36,8.31,1.54,1.15
"Accounts Receivable - Trade, Net",4.11,10.10,25.99,7.16,11.34
"Total Receivables, Net",4.11,11.75,25.99,12.39,13.64
Prepaid Expenses,0,0.30,0,0.88,0.06
"Other Current Assets, Total",7.99,0,0.00,0,0
Total Current Assets,12.84,27.87,34.30,17.56,16.80
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",0.17,0.11,0.04,0.02,0.19
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.00,0.10,0.00,0.00,0
Long Term Investments,0,0,0,0.00,0.00
Total Assets,13.00,28.08,34.33,17.58,16.99
Accounts Payable,0,10.97,23.88,8.74,4.49
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.62
"Other Current liabilities, Total",3.37,0,0.00,1.10,2.98
Total Current Liabilities,12.26,13.15,23.88,9.84,8.16
Total Long Term Debt,0.07,0.05,2.09,0.01,0.10
Total Debt,0.08,0.07,2.09,0.01,0.79
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,12.32,13.20,25.96,9.84,8.27
"Common Stock, Total",124.51,139.51,139.51,141.89,141.89
Retained Earnings (Accumulated Deficit),-143.98,-141.96,-146.24,-150.51,-149.61
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",20.15,17.33,15.10,16.36,16.44
Total Equity,0.68,14.88,8.37,7.74,8.72
Total Liabilities & Shareholders' Equity,13.00,28.08,34.33,17.58,16.99
Total Common Shares Outstanding,318.78,719.72,713.36,778.27,778.27
"Tangible Book Value per Share, Common Eq",0.00,0.02,0.01,0.01,0.01
