Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 May 2016,31 May 2017,31 May 2018,31 May 2019,31 May 2020
Source,PROSPECTUS,ARS,Interim Report,ARS,ARS
Cash,4.63,3.76,4.99,4.35,0
Short Term Investments,1.20,5.00,0.00,0.68,0
Cash and Short Term Investments,5.83,8.76,4.99,5.03,6.79
"Accounts Receivable - Trade, Net",0.62,0.90,1.46,1.85,1.38
"Total Receivables, Net",0.66,0.96,1.57,2.00,1.38
Prepaid Expenses,0.03,0.18,0.21,0.19,0.32
"Other Current Assets, Total",0.09,0.15,0.14,0.15,0
Total Current Assets,6.66,10.17,7.13,7.67,8.96
"Property/Plant/Equipment, Total - Gross",1.38,2.28,2.54,2.36,0
"Accumulated Depreciation, Total",-0.86,-0.84,-1.18,-1.26,0
"Property/Plant/Equipment, Total - Net",0.52,1.44,1.36,1.10,4.49
"Goodwill, Net",0,3.39,5.09,5.85,0
"Intangibles, Net",0,0.03,0.02,0.02,4.06
Long Term Investments,0,0.54,8.74,11.30,10.38
Total Assets,7.18,15.57,22.64,26.61,30.40
Accounts Payable,0.22,0.08,0.12,0.15,0
Accrued Expenses,0.38,0.77,2.06,2.59,0
Notes Payable/Short Term Debt,0.00,0.00,2.25,0.50,0.00
"Other Current liabilities, Total",3.68,0.71,0.86,1.45,0.90
Total Current Liabilities,4.98,1.56,5.28,4.69,4.39
Total Long Term Debt,0.00,0.00,0.00,0.00,6.85
Total Debt,0.70,0.00,2.25,0.50,7.73
Deferred Income Tax,0,0.00,0.10,0.07,0.10
"Other Liabilities, Total",0,0.09,0.15,1.57,2.53
Total Liabilities,5.03,1.74,5.94,6.74,14.12
"Common Stock, Total",0.01,13.01,14.43,14.43,15.42
Retained Earnings (Accumulated Deficit),2.14,0.82,2.59,5.98,1.40
Treasury Stock - Common,0,0.00,-0.32,-0.54,-0.54
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,2.15,13.83,16.70,19.87,16.28
Total Liabilities & Shareholders' Equity,7.18,15.57,22.64,26.61,30.40
Total Common Shares Outstanding,146.31,147.33,149.18,148.81,150.57
"Tangible Book Value per Share, Common Eq",0.01,0.07,0.08,0.09,0.08
