Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,44.86,35.49,34.72,14.69,15.19
"Accounts Receivable - Trade, Net",21.04,21.41,19.53,13.56,11.16
"Total Receivables, Net",55.72,33.99,34.16,17.08,12.73
Prepaid Expenses,0.44,1.37,0.17,0.23,0.55
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,108.18,78.09,78.77,38.87,37.00
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",11.34,37.30,40.58,53.69,51.84
"Goodwill, Net",1.32,1.32,1.32,1.32,1.32
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0,0,0,0,0
Total Assets,123.69,124.61,128.30,93.88,91.26
Accounts Payable,3.78,1.91,3.38,1.65,4.29
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,15.00,15.00,0.00,0.00
"Other Current liabilities, Total",0.40,0.24,0.31,0.08,0.01
Total Current Liabilities,27.36,30.20,28.56,29.17,32.42
Total Long Term Debt,0.00,0.00,0.00,0.69,0.67
Total Debt,15.00,15.00,15.00,15.95,15.87
Deferred Income Tax,0.49,0.49,0.76,0.00,0
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,32.16,35.64,38.04,31.76,34.97
"Common Stock, Total",83.71,83.71,83.71,83.71,83.71
Retained Earnings (Accumulated Deficit),7.81,5.26,6.55,-21.59,-27.42
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,91.53,88.97,90.26,62.12,56.29
Total Liabilities & Shareholders' Equity,123.69,124.61,128.30,93.88,91.26
Total Common Shares Outstanding,23.00,23.00,23.00,23.00,23.00
"Tangible Book Value per Share, Common Eq",3.92,3.81,3.87,2.64,2.39
