Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,68.84,69.73,64.33,37.20,47.11
Total Revenue,68.84,69.73,64.33,37.20,47.11
"Selling/General/Admin. Expenses, Total",33.88,32.35,29.49,30.70,28.18
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),1.25,0.26,0.00,7.91,1.34
"Other Operating Expenses, Total",-0.80,-0.60,-5.08,-0.10,-0.73
Total Operating Expense,72.57,70.27,57.45,55.84,52.05
Operating Income,-3.73,-0.55,6.88,-18.64,-4.94
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.63,-0.74,-0.75,-0.87,-0.88
"Other, Net",0,-0.00,-0.02,-0.02,-0.02
Net Income Before Taxes,-4.35,-1.29,6.11,-19.53,-5.84
Provision for Income Taxes,0.70,0.54,1.05,-0.28,0.01
Net Income After Taxes,-5.05,-1.83,5.06,-19.26,-5.85
Net Income Before Extra. Items,-4.64,-2.48,1.29,-17.67,-5.83
Net Income,-4.64,-2.48,1.29,-17.67,-5.83
Income Available to Com Excl ExtraOrd,-4.64,-2.48,1.29,-17.67,-5.83
Income Available to Com Incl ExtraOrd,-4.64,-2.48,1.29,-17.67,-5.83
Diluted Net Income,-4.64,-2.48,1.29,-17.67,-5.83
Diluted Weighted Average Shares,23.00,23.00,23.00,23.00,23.00
Diluted EPS Excluding ExtraOrd Items,-0.20,-0.11,0.06,-0.77,-0.25
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.17,-0.10,0.06,-0.54,-0.22
