Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,100.47,81.82,72.45,51.34
Short Term Investments,8.44,97.65,10.28,16.36,2.70
Cash and Short Term Investments,317.12,198.12,92.10,88.81,54.04
"Accounts Receivable - Trade, Net",55.10,5.10,16.47,54.37,45.81
"Total Receivables, Net",55.10,11.29,19.00,57.85,54.38
Prepaid Expenses,0,1.13,1.71,1.03,33.57
"Other Current Assets, Total",0.00,39.52,44.42,114.40,31.42
Total Current Assets,1112.34,466.02,490.28,659.20,612.38
"Property/Plant/Equipment, Total - Gross",452.78,469.11,486.16,498.22,524.22
"Accumulated Depreciation, Total",-55.37,-65.71,-76.15,-87.55,-98.13
"Property/Plant/Equipment, Total - Net",397.42,403.40,410.01,410.67,426.09
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,6.16,63.90,143.29,90.25,20.21
Total Assets,1515.91,933.32,1045.43,1161.93,1059.79
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,79.93,109.86,101.92
"Other Current liabilities, Total",81.73,11.54,43.53,46.12,42.89
Total Current Liabilities,776.61,68.60,224.09,311.16,276.65
Total Long Term Debt,235.51,327.33,306.98,317.52,247.55
Total Debt,886.02,348.29,453.37,513.68,407.58
Deferred Income Tax,62.94,58.48,58.65,52.27,47.24
"Other Liabilities, Total",2.72,0.82,0.98,1.66,1.64
Total Liabilities,1170.23,513.36,668.62,770.29,687.63
"Common Stock, Total",343.46,343.46,343.46,343.46,343.46
Retained Earnings (Accumulated Deficit),7.36,112.18,77.27,84.87,66.63
Treasury Stock - Common,-5.13,-5.13,-5.13,-5.13,-5.58
Unrealised Gain (Loss),0,4.13,0.05,8.95,4.78
"Other Equity, Total",0,-34.69,-38.83,-40.50,-37.13
Total Equity,345.68,419.96,376.81,391.65,372.16
Total Liabilities & Shareholders' Equity,1515.91,933.32,1045.43,1161.93,1059.79
Total Common Shares Outstanding,1958.93,1958.93,1958.93,1958.93,1956.93
"Tangible Book Value per Share, Common Eq",0.18,0.21,0.19,0.20,0.19
