Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,87.16,110.33,99.98,153.71,120.21
Total Revenue,87.16,110.33,99.98,153.71,120.21
"Selling/General/Admin. Expenses, Total",26.11,32.37,29.85,31.95,22.43
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.01,-74.41,0.00,0.12,0.02
"Other Operating Expenses, Total",-1.99,-3.48,-1.16,11.17,-1.53
Total Operating Expense,78.40,14.20,77.12,129.34,118.24
Operating Income,8.76,96.12,22.86,24.37,1.97
"Interest Inc.(Exp.),Net-Non-Op., Total",-8.44,0.52,-9.43,-13.89,-18.41
"Other, Net",0,0,0,0,0
Net Income Before Taxes,0.32,96.64,13.42,10.48,-16.44
Provision for Income Taxes,3.91,5.65,4.88,0.49,-0.60
Net Income After Taxes,-3.60,90.99,8.54,9.99,-15.84
Net Income Before Extra. Items,-3.64,87.54,5.94,7.60,-14.14
Net Income,-3.64,87.54,5.94,7.60,-14.14
Income Available to Com Excl ExtraOrd,-3.64,87.54,5.94,7.60,-14.14
Income Available to Com Incl ExtraOrd,-3.64,87.54,5.94,7.60,-14.14
Diluted Net Income,-3.64,87.54,5.94,7.60,-14.14
Diluted Weighted Average Shares,1969.93,1958.93,1958.93,1958.93,1957.40
Diluted EPS Excluding ExtraOrd Items,-0.00,0.04,0.00,0.00,-0.01
DPS - Common Stock Primary Issue,0.00,0.01,0.00,0.00,0
Diluted Normalised EPS,-0.00,0.01,0.00,0.00,-0.01
