Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-3.60,90.99,8.54,9.99,-15.84
Depreciation/Depletion,8.91,9.30,10.48,11.71,11.10
Non-Cash Items,15.72,-81.41,13.82,27.90,18.21
Cash Taxes Paid,1.86,4.46,6.25,6.51,6.53
Changes in Working Capital,-8.73,15.17,-29.37,-100.66,-46.63
Cash from Operating Activities,12.30,34.06,3.47,-51.05,-33.15
Capital Expenditures,-3.98,-12.07,-14.24,-10.49,-28.25
"Other Investing Cash Flow Items, Total",4.40,355.15,-155.41,13.99,132.24
Cash from Investing Activities,0.42,343.08,-169.65,3.50,103.99
Total Cash Dividends Paid,-0.99,-19.59,-24.49,0.00,-5.19
"Issuance (Retirement) of Stock, Net",-5.13,0,0,0,-0.45
Cash from Financing Activities,-47.02,-224.50,57.69,45.05,-100.04
Foreign Exchange Effects,-0.16,0.05,-0.05,-0.05,0.14
Net Change in Cash,-34.46,152.68,-108.55,-2.56,-29.06
