Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Jul 2016,31 Jul 2017,31 Jul 2018,31 Jul 2019,31 Jul 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,3.34,9.68,4.81,2.26,2.59
Depreciation/Depletion,0.98,0.92,0.79,0.42,2.29
Non-Cash Items,1.02,-3.31,5.39,-4.25,0.44
Cash Taxes Paid,-0.08,0.95,1.03,2.75,1.29
Changes in Working Capital,42.54,46.38,38.37,-2.96,-5.86
Cash from Operating Activities,47.88,53.66,49.37,-4.54,-0.54
Capital Expenditures,-0.15,-0.11,-0.11,-0.29,-1.05
"Other Investing Cash Flow Items, Total",-1.16,0.28,0.60,-0.55,-19.58
Cash from Investing Activities,-1.31,0.17,0.49,-0.84,-20.63
Total Cash Dividends Paid,-0.30,0.00,-3.66,-2.02,-2.52
"Issuance (Retirement) of Stock, Net",0,0.00,-1.12,0.00,0
Cash from Financing Activities,-38.34,-34.22,-32.67,-2.58,-3.87
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,8.23,19.61,17.19,-7.96,-25.05
