Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Jul 2016,31 Jul 2017,31 Jul 2018,31 Jul 2019,31 Jul 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,126.23,97.17,74.91,30.33,33.75
Total Revenue,126.23,97.17,74.91,30.33,33.75
"Selling/General/Admin. Expenses, Total",3.32,4.18,3.32,3.22,4.28
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,-0.09,0.00,-0.00
"Other Operating Expenses, Total",1.99,2.99,3.82,1.68,-1.76
Total Operating Expense,122.89,86.47,85.56,28.04,30.87
Operating Income,3.34,10.70,-10.65,2.28,2.88
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-1.02,-0.18,-0.02,-0.15
"Other, Net",0,0,0,0,-0.14
Net Income Before Taxes,3.34,9.68,-10.83,2.26,2.59
Provision for Income Taxes,0.83,1.79,0.54,1.48,1.40
Net Income After Taxes,2.51,7.89,-11.37,0.78,1.18
Net Income Before Extra. Items,1.70,8.34,-11.63,1.10,1.18
Net Income,1.70,8.34,-11.63,1.10,1.18
Income Available to Com Excl ExtraOrd,1.70,8.34,-11.63,1.10,1.18
Income Available to Com Incl ExtraOrd,1.70,8.34,-11.63,1.10,1.18
Diluted Net Income,1.70,8.34,-11.63,1.10,1.18
Diluted Weighted Average Shares,261.00,261.00,252.50,252.35,252.35
Diluted EPS Excluding ExtraOrd Items,0.01,0.03,-0.05,0.00,0.00
DPS - Common Stock Primary Issue,0.00,0.01,0.01,0.01,0
Diluted Normalised EPS,0.01,0.03,-0.05,0.00,0.00
