Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,26.51,26.82,0
Short Term Investments,2.40,30.30,9.20,1.95,5.24
Cash and Short Term Investments,37.95,70.86,52.67,58.03,40.72
"Accounts Receivable - Trade, Net",3.81,4.70,6.43,7.38,1.26
"Total Receivables, Net",12.20,5.78,7.11,16.86,1.58
Prepaid Expenses,4.97,9.95,9.70,8.50,3.50
"Other Current Assets, Total",4.34,4.02,26.13,2.86,9.39
Total Current Assets,59.45,90.61,95.61,86.25,61.76
"Property/Plant/Equipment, Total - Gross",0,0,223.97,519.75,0
"Accumulated Depreciation, Total",0,0,-46.08,-55.55,0
"Property/Plant/Equipment, Total - Net",195.25,222.94,177.89,464.20,146.53
"Goodwill, Net",0,0,0.00,0.00,0
"Intangibles, Net",0.00,0.03,0.03,0.00,0.00
Long Term Investments,59.06,42.64,45.16,36.45,40.43
Total Assets,327.67,369.88,334.22,594.08,249.47
Accounts Payable,2.96,3.97,4.20,4.00,0.24
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",9.45,10.68,11.42,10.37,8.23
Total Current Liabilities,66.70,81.11,84.81,109.35,56.45
Total Long Term Debt,131.13,150.34,111.53,357.50,72.70
Total Debt,185.42,216.81,180.72,452.47,120.68
Deferred Income Tax,0.50,0.54,0.51,0.50,0.54
"Other Liabilities, Total",3.45,1.92,4.04,0.66,0.44
Total Liabilities,205.97,241.52,206.99,468.48,131.00
"Common Stock, Total",75.17,109.28,109.28,113.17,113.17
Retained Earnings (Accumulated Deficit),14.34,16.77,15.77,11.18,2.23
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.88,2.32,2.19,1.25,3.06
Total Equity,121.71,128.36,127.24,125.60,118.46
Total Liabilities & Shareholders' Equity,327.67,369.88,334.22,594.08,249.47
Total Common Shares Outstanding,70.47,70.47,70.47,78.60,78.60
"Tangible Book Value per Share, Common Eq",1.73,1.82,1.81,1.60,1.51
