Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-11.48,9.16,4.35,7.48,-12.34
Depreciation/Depletion,10.65,10.20,10.42,32.45,25.29
Non-Cash Items,13.66,-1.75,3.92,-1.84,-3.92
Cash Taxes Paid,1.25,0.86,-0.25,1.22,0.70
Changes in Working Capital,-0.50,-3.52,-1.70,1.26,-2.22
Cash from Operating Activities,12.33,14.10,17.00,39.34,6.81
Capital Expenditures,-25.63,-16.13,-1.30,-2.85,-2.11
"Other Investing Cash Flow Items, Total",15.15,7.65,36.70,46.74,-1.15
Cash from Investing Activities,-10.49,-8.49,35.41,43.89,-3.27
Total Cash Dividends Paid,-2.19,-1.01,-2.22,-3.83,-1.22
"Issuance (Retirement) of Stock, Net",0,0,0,4.00,0.00
Cash from Financing Activities,5.15,-0.75,-49.81,-71.04,-25.25
Foreign Exchange Effects,-1.78,0.14,0.31,0.43,1.10
Net Change in Cash,5.22,5.00,2.91,12.63,-20.61
