Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,86.30,103.87,123.28,54.55,45.94
Total Revenue,86.30,103.87,123.28,54.55,45.94
"Selling/General/Admin. Expenses, Total",29.20,33.54,42.21,7.78,11.56
Depreciation/Amortisation,10.65,10.20,10.42,11.67,11.92
Unusual Expense (Income),8.59,1.00,-0.14,-4.27,7.92
"Other Operating Expenses, Total",8.30,5.62,8.30,4.04,4.13
Total Operating Expense,92.59,88.49,111.42,37.07,53.39
Operating Income,-6.29,15.39,11.86,17.47,-7.45
"Interest Inc.(Exp.),Net-Non-Op., Total",-4.87,-5.93,-7.08,-7.52,-4.75
"Other, Net",-0.32,-0.30,-0.42,-0.27,-0.14
Net Income Before Taxes,-11.48,9.16,4.35,9.68,-12.34
Provision for Income Taxes,0.75,0.29,0.43,0.78,1.27
Net Income After Taxes,-12.23,8.87,3.92,8.90,-13.61
Net Income Before Extra. Items,-14.17,6.22,1.23,8.15,-13.86
Net Income,-14.17,6.22,1.23,5.85,-7.73
Income Available to Com Excl ExtraOrd,-14.17,6.22,1.23,8.15,-13.86
Income Available to Com Incl ExtraOrd,-14.17,6.22,1.23,5.85,-7.73
Diluted Net Income,-14.17,6.22,1.23,5.85,-7.73
Diluted Weighted Average Shares,70.47,70.47,70.47,76.53,78.60
Diluted EPS Excluding ExtraOrd Items,-0.20,0.09,0.02,0.11,-0.18
DPS - Common Stock Primary Issue,0.01,0.03,0.03,0.03,0.01
Diluted Normalised EPS,-0.12,0.10,0.02,0.06,-0.11
