Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,23.80,1.62,10.90,17.90,-5.52
Depreciation/Depletion,0.83,0.40,0.33,0.58,0.48
Non-Cash Items,-4.27,-6.16,-5.18,-10.79,8.71
Cash Taxes Paid,2.04,0.81,0.00,0.00,0
Changes in Working Capital,-8.11,8.15,-15.79,2.76,-17.27
Cash from Operating Activities,12.25,4.02,-9.74,10.44,-13.59
Capital Expenditures,-0.02,-1.96,-0.56,-0.21,-0.19
"Other Investing Cash Flow Items, Total",-33.90,-0.63,-0.30,-1.75,-0.24
Cash from Investing Activities,-33.92,-2.59,-0.86,-1.95,-0.43
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",22.12,3.78,0.00,0,0
Cash from Financing Activities,31.68,-1.51,3.14,-8.25,13.01
Foreign Exchange Effects,0.03,0.64,-0.39,-0.04,-0.07
Net Change in Cash,10.05,0.57,-7.85,0.20,-1.09
