Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,PRESS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,16.52,21.07,3.03,3.22,2.14
"Accounts Receivable - Trade, Net",25.17,17.12,14.45,12.94,11.14
"Total Receivables, Net",25.17,17.12,14.45,12.94,11.14
Prepaid Expenses,0,2.62,1.42,0.58,0.18
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,287.92,249.33,238.51,179.10,164.91
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",7.93,5.51,4.94,4.41,4.43
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,61.35,95.59,65.23,113.09,113.78
Total Assets,357.20,355.63,318.07,305.38,287.79
Accounts Payable,0,0,0,0,0
Accrued Expenses,4.07,7.53,3.84,10.70,8.25
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0
"Other Current liabilities, Total",51.65,72.03,26.44,17.76,11.13
Total Current Liabilities,144.69,147.55,111.87,111.64,112.38
Total Long Term Debt,61.02,20.70,35.01,11.88,0.01
Total Debt,87.85,45.10,48.19,43.55,59.85
Deferred Income Tax,34.18,31.45,26.28,29.04,27.15
"Other Liabilities, Total",23.12,25.41,28.49,23.39,24.85
Total Liabilities,302.63,233.82,206.38,188.60,175.52
"Common Stock, Total",131.62,43.13,43.13,43.35,43.58
Retained Earnings (Accumulated Deficit),-77.05,78.68,68.56,73.43,60.55
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0.30
"Other Equity, Total",0,0,0,0,7.84
Total Equity,54.57,121.81,111.69,116.78,112.27
Total Liabilities & Shareholders' Equity,357.20,355.63,318.07,305.38,287.79
Total Common Shares Outstanding,762.65,962.17,962.17,970.93,982.07
"Tangible Book Value per Share, Common Eq",0.07,0.13,0.12,0.12,0.11
