Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,51.99,38.35,40.41,49.37,53.22
Total Revenue,51.99,38.35,40.41,49.37,53.22
"Selling/General/Admin. Expenses, Total",26.92,35.71,18.41,15.09,18.47
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,4.35,1.30,-0.55,3.62
"Other Operating Expenses, Total",-1.25,-0.11,-2.28,-0.19,-1.90
Total Operating Expense,60.22,65.89,44.13,46.54,46.08
Operating Income,-8.24,-27.55,-3.72,2.83,7.14
"Interest Inc.(Exp.),Net-Non-Op., Total",-2.91,-0.86,-1.77,-1.52,-1.11
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-11.15,-28.40,-5.49,1.31,6.03
Provision for Income Taxes,0.13,-1.44,0.02,0.16,1.18
Net Income After Taxes,-11.27,-26.96,-5.51,1.15,4.85
Net Income Before Extra. Items,-11.21,-24.84,-4.02,1.74,3.22
Net Income,-11.21,-24.84,-4.02,1.74,3.22
Income Available to Com Excl ExtraOrd,-11.21,-24.84,-4.02,1.74,3.22
Income Available to Com Incl ExtraOrd,-11.21,-24.84,-4.02,1.74,3.22
Diluted Net Income,-11.21,-24.84,-4.02,1.74,3.22
Diluted Weighted Average Shares,131.13,131.13,131.13,278.30,300.00
Diluted EPS Excluding ExtraOrd Items,-0.09,-0.19,-0.03,0.01,0.01
DPS - Common Stock Primary Issue,0.00,0,0,0,0.01
Diluted Normalised EPS,-0.07,-0.11,-0.02,0.00,0.02
