Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,14868.50,15806.10,16323.20,15975.90,3815.90
Total Revenue,14868.50,15806.10,16323.20,15975.90,3815.90
"Selling/General/Admin. Expenses, Total",2920.50,3000.40,3148.70,2959.40,1185.70
Depreciation/Amortisation,1591.90,1192.50,1389.80,2191.70,2141.70
Unusual Expense (Income),111.20,25.40,60.20,23.30,2008.60
"Other Operating Expenses, Total",693.50,864.30,880.10,888.40,621.30
Total Operating Expense,14353.00,14252.50,15316.30,15925.90,8335.00
Operating Income,515.50,1553.60,1006.90,50.00,-4519.10
"Interest Inc.(Exp.),Net-Non-Op., Total",27.20,15.80,-135.90,-247.30,-338.60
"Other, Net",-133.80,-0.80,-4.50,-32.30,-67.60
Net Income Before Taxes,518.60,1593.20,868.60,-220.20,-4957.20
Provision for Income Taxes,76.70,247.70,147.00,-50.80,-673.80
Net Income After Taxes,441.90,1345.50,721.60,-169.40,-4283.40
Net Income Before Extra. Items,360.40,1301.60,682.70,-212.00,-4270.70
Net Income,360.40,1301.60,682.70,-212.00,-4270.70
Income Available to Com Excl ExtraOrd,360.40,1301.60,682.70,-212.00,-4270.70
Income Available to Com Incl ExtraOrd,360.40,1301.60,682.70,-212.00,-4270.70
Diluted Net Income,359.90,1301.60,682.70,-212.00,-4270.70
Diluted Weighted Average Shares,1684.72,1683.44,1686.84,1681.45,2964.97
Diluted EPS Excluding ExtraOrd Items,0.21,0.77,0.40,-0.13,-1.44
DPS - Common Stock Primary Issue,0.14,0.28,0.21,0.06,0
Diluted Normalised EPS,0.21,0.77,0.43,-0.12,-0.99
