Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,3.27,9.82,-4.66,-13.63,-31.40
Depreciation/Depletion,5.66,6.35,6.01,6.51,4.69
Non-Cash Items,-10.72,-9.79,-4.68,7.40,8.24
Cash Taxes Paid,1.42,3.35,1.61,0.35,0.42
Changes in Working Capital,52.45,-115.51,-6.64,-25.77,-15.14
Cash from Operating Activities,50.66,-109.12,-9.97,-25.50,-33.60
Capital Expenditures,-4.85,-2.76,-0.89,-1.66,-2.37
"Other Investing Cash Flow Items, Total",-3.08,4.14,39.42,7.93,2.65
Cash from Investing Activities,-7.93,1.38,38.53,6.27,0.28
Total Cash Dividends Paid,-1.23,-1.85,-1.93,0.00,0
"Issuance (Retirement) of Stock, Net",0.00,-0.50,0.00,0,0
Cash from Financing Activities,-7.51,79.64,-2.35,11.51,37.93
Foreign Exchange Effects,-0.38,0.05,0.04,0.00,-0.01
Net Change in Cash,34.84,-28.05,26.25,-7.72,4.60
