Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,202.27,331.06,328.82,290.62,182.26
Total Revenue,202.27,331.06,328.82,290.62,182.26
"Selling/General/Admin. Expenses, Total",7.69,10.10,10.03,8.60,9.06
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.07,-0.06,-2.26,-0.83,-1.15
"Other Operating Expenses, Total",-1.58,0.66,-0.95,-0.32,-0.35
Total Operating Expense,194.58,321.43,321.06,281.73,189.24
Operating Income,7.68,9.64,7.76,8.90,-6.98
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-0.56,-0.74,-1.97,-3.23
"Other, Net",0,0,0,0,0
Net Income Before Taxes,7.68,9.07,7.02,6.93,-10.21
Provision for Income Taxes,1.22,0.52,1.08,0.75,0.76
Net Income After Taxes,6.47,8.55,5.94,6.18,-10.97
Net Income Before Extra. Items,6.14,8.08,5.61,5.65,-11.78
Net Income,6.14,8.08,5.61,5.65,-11.78
Income Available to Com Excl ExtraOrd,6.14,8.08,5.61,5.65,-11.78
Income Available to Com Incl ExtraOrd,6.14,8.08,5.61,5.65,-11.78
Diluted Net Income,6.14,8.08,5.61,5.65,-11.78
Diluted Weighted Average Shares,690.81,920.93,1182.74,1690.78,1979.51
Diluted EPS Excluding ExtraOrd Items,0.01,0.01,0.00,0.00,-0.01
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0.00
Diluted Normalised EPS,0.01,0.01,0.00,0.00,-0.01
