Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,4.68,5.31,7.73,9.86,9.08
Depreciation/Depletion,0.34,0.34,0.32,0.52,0.59
Non-Cash Items,-0.31,-0.37,-0.69,-0.66,-0.18
Cash Taxes Paid,0.48,0.65,0.78,0.93,0.46
Changes in Working Capital,0.58,-2.10,1.10,-1.70,-1.26
Cash from Operating Activities,5.34,3.22,8.51,8.05,8.25
Capital Expenditures,-0.39,-0.36,-0.41,-2.33,-0.98
"Other Investing Cash Flow Items, Total",-6.64,-0.06,5.98,7.24,1.97
Cash from Investing Activities,-7.02,-0.42,5.58,4.91,0.99
Total Cash Dividends Paid,-1.74,-2.44,-2.45,-2.80,0.00
"Issuance (Retirement) of Stock, Net",0.01,0.06,0.04,0.00,0
Cash from Financing Activities,-1.73,-2.39,-2.41,-2.97,-10.18
Foreign Exchange Effects,0.06,-0.02,0.02,0.01,-0.02
Net Change in Cash,-3.36,0.40,11.69,10.00,-0.97
