Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,6.98,4.64,4.77,2.46,-8.76
Depreciation/Depletion,1.72,3.77,3.78,3.81,3.50
Non-Cash Items,-6.60,-9.90,2.91,2.51,2.47
Cash Taxes Paid,-0.14,0.09,1.07,1.17,0.27
Changes in Working Capital,-8.40,-6.71,-11.33,-17.16,-15.96
Cash from Operating Activities,-6.29,-8.21,0.12,-8.38,-18.75
Capital Expenditures,-0.20,-0.33,-0.45,-0.43,-0.61
"Other Investing Cash Flow Items, Total",0.79,2.85,28.92,-2.72,-3.37
Cash from Investing Activities,0.59,2.51,28.47,-3.15,-3.98
Total Cash Dividends Paid,0,0,0,-1.11,0.00
"Issuance (Retirement) of Stock, Net",12.86,0,0,0,0
Cash from Financing Activities,8.97,-1.69,-2.76,-2.03,21.26
Foreign Exchange Effects,0.07,0.01,0.02,-0.37,-0.29
Net Change in Cash,3.33,-7.37,25.85,-13.93,-1.77
