Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0.00,0.00,1.10,0.16,0.10
Cash and Short Term Investments,6.75,2.02,26.33,11.47,9.64
"Accounts Receivable - Trade, Net",7.84,0.56,2.79,15.22,6.14
"Total Receivables, Net",8.77,1.28,3.22,17.12,7.53
Prepaid Expenses,0.25,0.76,0.62,1.33,26.08
"Other Current Assets, Total",0.00,2.81,0.00,0.68,23.65
Total Current Assets,34.75,29.82,54.29,59.46,72.57
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",35.62,85.04,83.02,79.55,75.39
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.00,0.01,0.01,0.00,0
Long Term Investments,89.45,37.88,12.51,12.32,14.65
Total Assets,159.82,152.79,149.87,151.36,162.64
Accounts Payable,1.46,7.34,5.23,5.53,2.47
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",0.17,0.31,0.03,0.13,0.82
Total Current Liabilities,8.96,13.54,7.69,10.82,14.20
Total Long Term Debt,5.19,5.02,2.15,0.89,19.77
Total Debt,6.98,8.44,2.94,2.37,23.26
Deferred Income Tax,14.89,14.52,11.11,11.57,11.02
"Other Liabilities, Total",0.00,0,0,0,0
Total Liabilities,29.02,33.07,20.94,23.27,45.00
"Common Stock, Total",94.60,123.13,123.13,94.60,94.60
Retained Earnings (Accumulated Deficit),-11.41,-0.67,6.92,36.14,27.61
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),40.52,2.78,2.78,2.78,2.78
"Other Equity, Total",7.09,-5.52,-3.91,-5.43,-7.35
Total Equity,130.80,119.72,128.92,128.09,117.64
Total Liabilities & Shareholders' Equity,159.82,152.79,149.87,151.36,162.64
Total Common Shares Outstanding,246.24,246.24,246.24,246.24,246.24
"Tangible Book Value per Share, Common Eq",0.53,0.49,0.52,0.52,0.48
