Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,10.34,12.60,34.39,29.34,7.96
Total Revenue,10.34,12.60,34.39,29.34,7.96
"Selling/General/Admin. Expenses, Total",7.67,11.60,17.49,9.86,10.00
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.10,0,0,-0.95,-0.20
"Other Operating Expenses, Total",-1.77,-10.34,-4.08,2.69,1.29
Total Operating Expense,2.68,7.49,29.23,26.01,15.52
Operating Income,7.66,5.11,5.16,3.33,-7.56
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.68,-0.47,-0.38,-0.87,-1.20
"Other, Net",0,0,0,0,0
Net Income Before Taxes,6.98,4.64,4.77,2.46,-8.76
Provision for Income Taxes,0.70,2.85,-2.82,0.65,-0.23
Net Income After Taxes,6.28,1.79,7.59,1.81,-8.53
Net Income Before Extra. Items,6.30,1.79,7.59,1.81,-8.53
Net Income,6.30,1.79,7.59,1.81,-8.53
Income Available to Com Excl ExtraOrd,6.30,1.79,7.59,1.81,-8.53
Income Available to Com Incl ExtraOrd,6.30,1.79,7.59,1.81,-8.53
Diluted Net Income,6.30,1.79,7.59,1.81,-8.53
Diluted Weighted Average Shares,198.20,246.24,246.24,246.24,246.24
Diluted EPS Excluding ExtraOrd Items,0.03,0.01,0.03,0.01,-0.03
DPS - Common Stock Primary Issue,0,0,0.00,0.00,0
Diluted Normalised EPS,0.03,0.01,0.04,0.00,-0.03
