Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,689.73,682.47,697.52,786.74,745.21
Total Revenue,689.73,682.47,697.52,786.74,745.21
"Selling/General/Admin. Expenses, Total",0,0,0,0,0
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.63,0.55,8.84,17.82,-419.17
"Other Operating Expenses, Total",3.74,2.42,3.07,2.80,4.24
Total Operating Expense,354.66,347.73,348.94,411.94,-12.20
Operating Income,335.07,334.74,348.58,374.79,757.41
"Interest Inc.(Exp.),Net-Non-Op., Total",135.35,323.07,327.77,322.14,-407.73
"Other, Net",0,0,0,0,0
Net Income Before Taxes,470.43,657.81,676.36,696.93,349.68
Provision for Income Taxes,1.03,0.16,-0.39,0.00,-0.06
Net Income After Taxes,469.40,657.65,676.75,696.93,349.74
Net Income Before Extra. Items,469.40,657.65,676.75,696.93,349.82
Net Income,469.40,657.65,676.75,696.93,349.82
Income Available to Com Excl ExtraOrd,469.40,657.65,676.75,696.93,349.82
Income Available to Com Incl ExtraOrd,469.40,657.65,676.75,696.93,349.82
Diluted Net Income,469.40,657.65,676.75,696.93,349.82
Diluted Weighted Average Shares,3542.35,3545.20,3568.69,3688.30,4186.64
Diluted EPS Excluding ExtraOrd Items,0.13,0.19,0.19,0.19,0.08
DPS - Common Stock Primary Issue,0.09,0.09,0.10,0.10,0.07
Diluted Normalised EPS,0.13,0.19,0.19,0.19,0.02
