Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,8.53,8.36,10.80,9.95,183.62
Short Term Investments,474.94,514.39,337.71,192.25,0.00
Cash and Short Term Investments,483.46,522.75,348.50,202.20,183.62
"Accounts Receivable - Trade, Net",7.20,9.19,7.94,8.03,59.18
"Total Receivables, Net",30.21,28.99,26.01,23.83,68.58
Prepaid Expenses,0.88,0.78,0.72,1.92,13.00
"Other Current Assets, Total",2.63,32.05,0.79,0.64,7.78
Total Current Assets,517.18,584.56,376.02,228.59,272.98
"Property/Plant/Equipment, Total - Gross",8.46,8.42,9.16,9.52,13.87
"Accumulated Depreciation, Total",-6.05,-6.30,-6.35,-6.23,-6.80
"Property/Plant/Equipment, Total - Net",2.41,2.12,2.81,3.29,7.06
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,9644.46,9902.67,11096.08,11471.44,22092.88
Total Assets,10326.73,10504.44,11501.67,11731.66,22416.38
Accounts Payable,32.08,29.89,34.45,33.83,44.92
Accrued Expenses,27.67,26.05,27.89,28.99,46.99
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",69.40,70.46,110.67,76.97,129.12
Total Current Liabilities,466.23,748.20,827.70,494.77,1333.83
Total Long Term Debt,3038.31,2648.41,3099.26,3309.53,7800.76
Total Debt,3288.31,3183.10,3627.82,3572.20,8734.94
Deferred Income Tax,0,0,0,0,4.71
"Other Liabilities, Total",129.97,179.79,145.41,160.12,209.15
Total Liabilities,3634.51,3576.40,4072.37,3964.42,9378.74
"Common Stock, Total",0,0,0,0,0
Retained Earnings (Accumulated Deficit),0,0,0,0,0
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",6692.22,6928.05,7429.30,7767.24,13037.64
Total Equity,6692.22,6928.05,7429.30,7767.24,13037.64
Total Liabilities & Shareholders' Equity,10326.73,10504.44,11501.67,11731.66,22416.38
Total Common Shares Outstanding,3543.07,3546.42,3686.90,3688.80,6470.70
"Tangible Book Value per Share, Common Eq",1.89,1.95,2.02,2.11,2.01
