Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,402.56,405.66,477.39,696.93,349.74
Depreciation/Depletion,1.11,0.70,0.52,1.73,2.32
Non-Cash Items,28.18,23.67,-41.41,-192.94,105.06
Cash Taxes Paid,3.42,1.03,-0.23,1.63,0.31
Changes in Working Capital,1.01,-2.31,19.41,5.79,-77.44
Cash from Operating Activities,432.86,427.73,455.91,511.51,379.68
Capital Expenditures,-0.52,-0.37,-0.26,-0.97,-1.51
"Other Investing Cash Flow Items, Total",27.84,89.55,-234.72,-57.21,-920.91
Cash from Investing Activities,27.32,89.17,-234.98,-58.19,-922.41
Total Cash Dividends Paid,-394.23,-394.89,-455.58,-384.32,-371.19
"Issuance (Retirement) of Stock, Net",0,0,277.56,0.00,0
Cash from Financing Activities,-581.03,-477.62,-395.18,-599.63,524.15
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-120.85,39.28,-174.24,-146.31,-18.58
