Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,Interim Report,PRESS,ARS,ARS,PRESS
Cash,88.45,46.17,17.53,15.90,23.76
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,88.45,46.17,17.53,15.90,23.76
"Accounts Receivable - Trade, Net",446.08,992.16,655.49,602.02,466.66
"Total Receivables, Net",466.81,1037.25,655.49,602.02,466.66
Prepaid Expenses,0.22,0,0.22,0.22,0.08
"Other Current Assets, Total",3207.56,345.68,330.46,105.72,76.03
Total Current Assets,4741.75,2524.16,1974.81,1873.49,1579.69
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",20.96,20.37,25.87,22.99,13.83
"Goodwill, Net",4.19,4.19,0.00,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,2008.70,2043.37,2116.39,2197.66,2193.72
Total Assets,6806.88,4626.75,4150.00,4116.86,3810.03
Accounts Payable,983.84,1069.57,609.13,941.83,721.87
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0,0.00,0.00,0
"Other Current liabilities, Total",1604.07,156.83,374.74,330.17,365.61
Total Current Liabilities,3990.84,1869.25,1537.76,2742.78,2466.50
Total Long Term Debt,1205.29,1169.41,1511.97,489.63,512.26
Total Debt,2608.22,1812.26,2065.86,1960.41,1891.29
Deferred Income Tax,340.19,304.61,264.71,283.02,283.75
"Other Liabilities, Total",0.26,0,7.75,0.00,0
Total Liabilities,5536.58,3343.27,3298.72,3483.36,3221.15
"Common Stock, Total",0,0,909.83,909.83,909.83
Retained Earnings (Accumulated Deficit),0,0,-58.55,-276.33,-320.96
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",1270.30,1283.48,0,0,0
Total Equity,1270.30,1283.48,851.28,633.50,588.88
Total Liabilities & Shareholders' Equity,6806.88,4626.75,4150.00,4116.86,3810.03
Total Common Shares Outstanding,75.00,75.00,75.00,75.00,75.00
"Tangible Book Value per Share, Common Eq",16.88,17.06,11.35,8.45,7.85
