Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,PRESS,ARS,ARS,PRESS
Revenue,349.38,298.25,172.02,98.08,349.59
Total Revenue,349.38,298.25,172.02,98.08,349.59
"Selling/General/Admin. Expenses, Total",133.83,-38.99,58.87,51.50,54.25
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),12.52,0,62.25,40.27,0
"Other Operating Expenses, Total",13.75,-188.91,187.62,-2.32,-16.11
Total Operating Expense,515.02,243.25,370.56,84.70,217.24
Operating Income,-165.65,55.00,-198.54,13.38,132.34
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-176.18,-219.71,-223.50
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-165.65,55.00,-374.72,-206.33,-91.16
Provision for Income Taxes,35.81,35.71,-41.16,18.30,2.87
Net Income After Taxes,-201.46,19.30,-333.56,-224.64,-94.03
Net Income Before Extra. Items,-192.85,33.58,-321.79,-216.04,-84.73
Net Income,-192.85,33.58,-321.79,-216.04,-84.73
Income Available to Com Excl ExtraOrd,-192.85,33.58,-321.79,-216.04,-84.73
Income Available to Com Incl ExtraOrd,-192.85,33.58,-321.79,-216.04,-84.73
Diluted Net Income,-192.85,33.58,-321.79,-216.04,-84.73
Diluted Weighted Average Shares,75.00,75.00,75.00,75.00,75.00
Diluted EPS Excluding ExtraOrd Items,-2.57,0.45,-4.29,-2.88,-1.13
DPS - Common Stock Primary Issue,0.00,0.10,0,0,0
Diluted Normalised EPS,-2.46,0.45,-3.75,-2.53,-1.13
