Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,PRESS,ARS,ARS,PRESS
Net Income/Starting Line,-165.65,55.00,-333.56,-224.64,-94.03
Depreciation/Depletion,2.68,3.65,2.91,3.96,3.73
Non-Cash Items,131.87,156.18,282.17,157.85,265.73
Cash Taxes Paid,17.88,2.94,66.17,-0.82,1.76
Changes in Working Capital,-585.13,-639.45,-137.40,-84.25,-127.82
Cash from Operating Activities,-616.23,-424.63,-185.89,-147.08,47.60
Capital Expenditures,-1.04,-3.71,-1.03,-0.30,0
"Other Investing Cash Flow Items, Total",44.65,966.98,-15.68,96.43,9.38
Cash from Investing Activities,43.61,963.28,-16.71,96.13,9.38
Total Cash Dividends Paid,0.00,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,484.71,-580.93,173.95,49.32,-49.12
Foreign Exchange Effects,-1.07,0.00,0,0,0
Net Change in Cash,-88.98,-42.28,-28.64,-1.63,7.86
