Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-0.55,13.42,-10.42,-24.13,-64.93
Depreciation/Depletion,0.84,0.83,0.88,1.07,1.10
Non-Cash Items,-1.82,-5.98,5.42,17.76,52.12
Cash Taxes Paid,-2.82,0.07,0.03,0.01,-0.08
Changes in Working Capital,26.45,-11.62,-9.06,24.96,28.48
Cash from Operating Activities,26.34,-1.94,-11.90,19.93,17.03
Capital Expenditures,-0.26,-0.06,-0.94,-0.01,-0.06
"Other Investing Cash Flow Items, Total",3.60,3.45,0.02,0.47,0.35
Cash from Investing Activities,3.34,3.39,-0.92,0.46,0.29
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,0,0,0,53.44
Cash from Financing Activities,-29.87,-10.00,5.94,-21.19,20.59
Foreign Exchange Effects,0.05,0.00,0.00,0,0
Net Change in Cash,-0.14,-8.56,-6.88,-0.81,37.92
