Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,25.95,17.40,10.52,9.71,47.63
"Accounts Receivable - Trade, Net",45.27,107.26,90.74,146.53,42.62
"Total Receivables, Net",45.27,107.26,90.74,146.53,42.62
Prepaid Expenses,97.08,95.13,96.80,0.04,0.10
"Other Current Assets, Total",6.38,1.65,1.19,1.53,3.00
Total Current Assets,175.99,222.72,200.53,158.74,94.26
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",11.51,9.37,9.40,8.63,7.31
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",4.88,2.83,1.54,1.28,0.00
Long Term Investments,0,0,0.00,0,0
Total Assets,192.37,234.91,211.47,168.65,101.57
Accounts Payable,35.37,54.14,56.25,56.96,41.92
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,70.00,60.00,65.11,50.00,23.99
"Other Current liabilities, Total",23.98,44.59,25.54,20.47,7.07
Total Current Liabilities,129.35,158.73,146.90,127.75,73.60
Total Long Term Debt,0.00,0.00,0.00,0.46,0.45
Total Debt,70.00,60.00,65.11,50.78,25.05
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,129.38,158.73,146.90,128.21,74.04
"Common Stock, Total",224.75,224.75,224.75,224.75,276.70
Retained Earnings (Accumulated Deficit),-161.76,-148.39,-160.01,-184.14,-249.17
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,-0.17,-0.17,-0.17,0.00
Total Equity,62.99,76.19,64.57,40.44,27.53
Total Liabilities & Shareholders' Equity,192.37,234.91,211.47,168.65,101.57
Total Common Shares Outstanding,975.50,975.50,975.50,975.50,1383.62
"Tangible Book Value per Share, Common Eq",0.06,0.08,0.06,0.04,0.02
