Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,0.26,90.42,35.21,-269.35,242.43
Depreciation/Depletion,28.74,30.42,28.36,27.18,25.83
Non-Cash Items,6.74,14.16,61.59,298.85,0.95
Cash Taxes Paid,0.00,2.75,19.45,11.11,23.48
Changes in Working Capital,-26.10,-40.44,-94.85,4.53,-140.19
Cash from Operating Activities,9.64,94.56,30.31,61.21,129.02
Capital Expenditures,-40.96,-24.71,-17.71,-3.33,-6.33
"Other Investing Cash Flow Items, Total",-19.67,-4.94,-41.17,-17.21,-4.58
Cash from Investing Activities,-60.63,-29.65,-58.87,-20.54,-10.90
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,3.50,0.00,49.00
Cash from Financing Activities,36.68,-15.27,28.20,32.81,5.67
Foreign Exchange Effects,-0.12,-0.03,-0.06,-0.03,-0.79
Net Change in Cash,-14.43,49.61,-0.43,73.44,123.00
