Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,708.51,1124.44,1308.27,1054.46,1146.25
Total Revenue,708.51,1124.44,1308.27,1054.46,1146.25
"Selling/General/Admin. Expenses, Total",41.50,47.28,48.25,46.29,35.59
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.36,0,0,146.55,-13.62
"Other Operating Expenses, Total",-9.32,-1.59,-4.60,-3.29,-2.95
Total Operating Expense,708.25,1021.93,1219.28,1169.13,886.88
Operating Income,0.26,102.51,88.99,-114.67,259.37
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-12.10,-53.78,-152.61,-16.94
"Other, Net",0,0,0,-2.08,0
Net Income Before Taxes,0.26,90.42,35.21,-269.35,242.43
Provision for Income Taxes,-0.10,20.34,14.26,9.54,69.31
Net Income After Taxes,0.36,70.08,20.95,-278.89,173.12
Net Income Before Extra. Items,0.59,70.82,22.08,-248.42,173.69
Net Income,0.59,70.82,22.08,-248.42,173.69
Income Available to Com Excl ExtraOrd,0.59,70.82,22.08,-248.42,173.69
Income Available to Com Incl ExtraOrd,0.59,70.82,22.08,-248.42,173.69
Diluted Net Income,0.59,70.82,22.08,-248.42,173.69
Diluted Weighted Average Shares,1818.44,1818.44,1818.44,1818.44,1849.10
Diluted EPS Excluding ExtraOrd Items,0.00,0.04,0.01,-0.14,0.09
DPS - Common Stock Primary Issue,0,0,0,0,0.00
Diluted Normalised EPS,0.00,0.04,0.01,-0.08,0.09
