Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,253.25,239.40,208.71,235.95,276.11
Total Revenue,253.25,239.40,208.71,235.95,276.11
"Selling/General/Admin. Expenses, Total",19.68,22.16,26.36,25.90,26.36
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,-0.04,0.41,0.03,-1.11
"Other Operating Expenses, Total",-2.42,-5.47,-7.99,-9.45,-11.18
Total Operating Expense,235.43,217.42,185.11,204.68,235.67
Operating Income,17.82,21.98,23.60,31.27,40.45
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,17.82,21.98,23.60,31.27,40.45
Provision for Income Taxes,1.67,2.42,2.78,5.21,5.84
Net Income After Taxes,16.15,19.56,20.82,26.06,34.60
Net Income Before Extra. Items,15.56,19.09,20.29,25.47,33.87
Net Income,15.56,19.09,20.29,25.47,33.87
Income Available to Com Excl ExtraOrd,15.56,19.09,20.29,25.47,33.87
Income Available to Com Incl ExtraOrd,15.56,19.09,20.29,25.47,33.87
Diluted Net Income,15.56,19.09,20.29,25.47,33.87
Diluted Weighted Average Shares,538.22,538.14,538.12,549.08,569.91
Diluted EPS Excluding ExtraOrd Items,0.03,0.04,0.04,0.05,0.06
DPS - Common Stock Primary Issue,0.01,0.01,0.01,0.02,0.02
Diluted Normalised EPS,0.03,0.04,0.04,0.05,0.06
